,accuracy,selection_rate,tpr,tnr,fpr,fnr,ppv,npv,f1,auc
White,0.789051094890511,0.3854014598540146,0.8394886363636364,0.7716110019646365,0.22838899803536344,0.16051136363636365,0.5596590909090909,0.9328978622327792,0.6715909090909091,0.8839793517815682
Black,0.8725490196078431,0.16013071895424835,0.6388888888888888,0.9037037037037037,0.0962962962962963,0.3611111111111111,0.46938775510204084,0.9494163424124513,0.5411764705882353,0.8690843621399177
Asian_Pacific_Amer_Indian,0.7883211678832117,0.3795620437956204,0.8709677419354839,0.7641509433962265,0.2358490566037736,0.12903225806451613,0.5192307692307693,0.9529411764705882,0.6506024096385542,0.883444917833232
Other,0.9411764705882353,0.17647058823529413,1.0,0.9333333333333333,0.06666666666666667,0.0,0.6666666666666666,1.0,0.8,0.9666666666666667
