alphaF,Group Pair,ω,FIC,Tier
0.05,White - Black,0.0834979247173322,-0.6699584943466439,Unacceptable
0.05,White - APAI,0.0007299270072992359,0.9854014598540153,Optimum
0.05,White - Other,0.15212537569772433,-2.0425075139544866,Unacceptable
0.05,Black - APAI,0.08422785172463143,-0.6845570344926286,Unacceptable
0.05,Black - Other,0.06862745098039214,-0.3725490196078427,Unacceptable
0.05,APAI - Other,0.15285530270502357,-2.0571060541004713,Unacceptable
0.1,White - Black,0.0834979247173322,0.16502075282667805,Questionable
0.1,White - APAI,0.0007299270072992359,0.9927007299270076,Optimum
0.1,White - Other,0.15212537569772433,-0.5212537569772433,Unacceptable
0.1,Black - APAI,0.08422785172463143,0.1577214827536857,Questionable
0.1,Black - Other,0.06862745098039214,0.31372549019607865,Questionable
0.1,APAI - Other,0.15285530270502357,-0.5285530270502357,Unacceptable
0.15,White - Black,0.0834979247173322,0.44334716855111866,Questionable
0.15,White - APAI,0.0007299270072992359,0.9951338199513384,Optimum
0.15,White - Other,0.15212537569772433,-0.0141691713181622,Unacceptable
0.15,Black - APAI,0.08422785172463143,0.4384809885024571,Questionable
0.15,Black - Other,0.06862745098039214,0.542483660130719,Acceptable
0.15,APAI - Other,0.15285530270502357,-0.01903535136682377,Unacceptable
0.2,White - Black,0.0834979247173322,0.582510376413339,Acceptable
0.2,White - APAI,0.0007299270072992359,0.9963503649635038,Optimum
0.2,White - Other,0.15212537569772433,0.23937312151137835,Questionable
0.2,Black - APAI,0.08422785172463143,0.5788607413768428,Acceptable
0.2,Black - Other,0.06862745098039214,0.6568627450980393,Acceptable
0.2,APAI - Other,0.15285530270502357,0.23572348647488217,Questionable
